,Unnamed: 0,agriculture biomass,agriculture coal,agriculture electricity,agriculture oil,district heat share,electricity rail,electricity residential,electricity residential space,electricity residential water,electricity services space,electricity services water,non energy biomass,non energy electricity,non energy gas,non energy heat,non energy oil,residential biomass,residential gas,residential heat biomass,residential heat gas,residential heat oil,residential oil,road biomass,road electricity,road gas,road oil,services biomass,services electricity,services gas,services oil,total domestic aviation,total domestic navigation,total international aviation,total international navigation,total navigation hydrogen,total navigation oil,total rail,total residential space,total residential water,total road,total road ev,total road fcev,total road ice,total services space,total services water
CL,0.0,0.0,0.0,4.266810754937173,0.0,0,1.5105181689347251,67.02937926294865,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6406125761882537,0.0,4.85355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9668579306676,1.5808511282223692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8397929788119816,2.91213,1.9414200000000001,0.8588230653180218,0.0,0.0,0.0,0.0,0.0
EG,0.0,0.0,0.0,13.565717147719512,4.040410804703925,0,1.6646462697133928,310.69494528971813,8.6126566113,5.7417710742,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8254746688985795,7.41987154187733,12.310851442819239,21.950775,14.668904314638079,7.973485905000001,0.0,0.0,0.0,0.0,0.0,113.9861832372848,0.0,0.0,18.94062868249517,1.3444572478995465,15.215917465384548,9.141040004771098,0.0,0.0,2.0275191534995716,37.97097506577439,25.31398337718293,163.98763345650062,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,5.985939301870215,5.117103714489856,0,1.2110513499065187,61.531719134976726,5.6370538386,3.7580358924,0,0,0.0,0.0,0.0,0.0,0.0,1.243542375545993,0.0,4.0018734335535395,0.0,9.600917243861355,5.218711410000001,0.0,0.0,0.0,0.0,6.500871671418306,16.70843633982586,0.0,0.6267187071235165,1.2270136366751878,0.0,18.389242959044125,3.086715764608625,0.0,0.0,1.9177891898838113,13.798728245048936,9.199152163365959,61.623190565839224,0.0,0.0,0.0,0.0,0.0
ZA,0.0,0.0,0.0,10.283404225382185,6.227409256823451,0,8.161569491334756,489.19096620111117,0.5263823178,0.35092154519999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8728195240912564,0.016326521294700302,9.245089157341317,0.048299999999999996,0.8965238254820113,0.48731793000000007,0.0,0.0,0.0,0.0,0.0,177.13775183093713,0.2834435727572719,0.36107569366588926,19.94207011525633,0.011983084175364556,34.39287220579935,68.45646995405008,0.0,0.0,15.31057976652656,6.640330107493996,4.4268867383293315,161.55902088445288,0.0,0.0,0.0,0.0,0.0
