,Unnamed: 0,agriculture biomass,agriculture coal,agriculture electricity,agriculture oil,district heat share,electricity rail,electricity residential,electricity residential space,electricity residential water,electricity services space,electricity services water,non energy biomass,non energy electricity,non energy gas,non energy heat,non energy oil,other biomass,other electricity,other gas,other heat,other oil,residential biomass,residential gas,residential heat biomass,residential heat gas,residential heat oil,residential oil,road biomass,road electricity,road gas,road oil,services biomass,services electricity,services gas,services oil,total domestic aviation,total domestic navigation,total international aviation,total international navigation,total navigation hydrogen,total navigation oil,total rail,total residential space,total residential water,total road,total road ev,total road fcev,total road ice,total services space,total services water
CL,0.0,0.0,0.0,4.266810754937173,0.0,0,1.5105181689347251,67.02937926294865,0.0,0.0,0,0,0.0,0.0,5.140179765738117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6406125761882535,0.0,4.85355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9668579306676,1.5808511282223692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8397929788119816,2.91213,1.94142,0.4215380446804658,0.0,0.0,0.0,0.0,0.0
EG,0.0,0.0,0.0,13.565717147719512,4.040410804703925,0,1.6646462697133928,310.69494528971813,8.6126566113,5.7417710742,0,0,0.0,0.0,34.59476811420206,0.0,8.136297277203143,0.0,0.0,0.0,0.0,0.1801353497037303,3.82547466889858,7.41987154187733,12.31085144281924,21.950775,14.66890431463808,7.973485905000001,0.0,0.0,0.0,0.0,0.0,113.9861832372848,0.0,0.0,18.94062868249517,1.3150763825060492,15.215917465384548,8.941277858108313,0.0,0.0,2.027519153499572,37.97097506577439,25.31398337718293,100.35252279253444,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,5.985939301870215,5.117103714489856,0,1.2110513499065187,61.531719134976726,5.6370538386,3.7580358924,0,0,0.0,0.0,0.0,0.0,3.152318442837648,0.0,0.0,0.0,0.0,0.0,1.243542375545993,0.0,4.00187343355354,0.0,9.600917243861357,5.218711410000001,0.0,0.0,0.0,0.0,6.500871671418306,16.70843633982586,0.0,0.6267187071235165,1.2270136366751878,0.0,18.389242959044125,3.0192607521642816,0.0,0.0,1.9177891898838115,13.798728245048936,9.19915216336596,37.71042063026937,0.0,0.0,0.0,0.0,0.0
ZA,0.0,0.0,0.0,10.283404225382183,6.227409256823451,0,8.161569491334756,489.1909662011112,0.5263823178,0.3509215451999999,0,0,0.0,20.6846,0.0,0.0,2.493494726511748,0.0,1.2594,0.0,1.4709,3.4744546392437616,2.8728195240912564,0.0163265212947003,9.245089157341315,0.0482999999999999,0.8965238254820113,0.48731793,0.0,0.0,0.0,0.0,0.0,177.13775183093713,0.2834435727572719,0.3610756936658892,19.94207011525633,0.0117212139048852,34.39287220579935,66.96046825360462,0.0,0.0,15.31057976652656,6.640330107493996,4.426886738329332,98.8663290268606,0.0,0.0,0.0,0.0,0.0
