,Unnamed: 0,agriculture biomass,agriculture coal,agriculture electricity,agriculture oil,district heat share,electricity rail,electricity residential,electricity residential space,electricity residential water,electricity services space,electricity services water,non energy biomass,non energy electricity,non energy gas,non energy heat,non energy oil,other biomass,other electricity,other gas,other heat,other oil,residential biomass,residential gas,residential heat biomass,residential heat gas,residential heat oil,residential oil,road biomass,road electricity,road gas,road oil,services biomass,services electricity,services gas,services oil,total domestic aviation,total domestic navigation,total international aviation,total international navigation,total navigation hydrogen,total navigation oil,total rail,total residential space,total residential water,total road,total road ev,total road fcev,total road ice,total services space,total services water
CL,0.0,0.0089136727709254,0.0,2.93895541407258,1.5061211204349498,0,0.7221203906635905,25.85487648741786,2.0744957196,1.3829971464,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2300403529535142,1.6258906649702394,0.7075241984698312,4.85355,3.729253647270524,1.92054126,0.0,0.0,0.0,0.0,0.1711360565106686,17.792286611697556,1.7871650005684905,1.759453879419079,10.59836920883473,1.8991082660013263,11.174620102360128,1.4799791283984964,0.0,0.0,0.7744601239399014,7.648692427044214,5.099128284696143,48.55209142049227,0.0,0.0,0.0,0.0,0.0
EG,0.0,0.0,0.0,9.343990194768915,6.728519432208939,0,0.7958030822296384,116.06693640562268,8.6126566113,5.7417710742,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.224736768128479,7.353289893245585,12.993822419582855,21.950775,15.482693348999629,7.973485905000001,0.0,0.0,0.0,0.0,0.0,57.99991654819315,0.0,0.0,9.131049780801533,1.2685024610997562,9.929763932706264,5.980656139017256,0.0,0.0,0.8534833826378422,38.86903107244949,25.912687381632992,213.5899146365137,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,4.123081554340076,8.521542348983138,0,0.5789568718163199,25.32652710774713,5.6370538386,3.7580358924,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3733300182085906,0.0,4.22388597431835,0.0,10.133548789154782,5.218711410000001,0.0,0.0,0.0,0.0,7.263356698590788,8.501801585402234,0.0,1.3000089370839012,0.5915285488151758,0.0,12.000646158859418,2.019527928700952,0.0,0.0,0.8072925980221416,14.25151469668388,9.501009797789251,80.26271088349229,0.0,0.0,0.0,0.0,0.0
ZA,0.0,0.0,0.0,7.083151388496216,10.370540576733475,0,3.9017311216237225,174.9898580579292,0.5263823178,0.3509215451999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1726536762351936,0.0161800165071056,9.757980373792398,0.0482999999999999,0.9462604140214212,0.48731793,0.0,0.0,0.0,0.0,0.0,90.13351032503289,0.3204352540378046,0.7489829542249697,9.61383267720826,0.0113061027353331,22.44446335544652,44.78862438764615,0.0,0.0,6.444982473643672,6.977906790488291,4.651937860325528,210.42670567364735,0.0,0.0,0.0,0.0,0.0
